target,candidate_set,comparator,metric,original,comparator_value,difference,contribution_to_macro_difference
HIF1A,low_plausibility,tuna_retrained,P_vs_U_concordance,0.9533333333333334,0.92,0.033333333333333326,0.002777777777777777
CTNNB1,low_plausibility,tuna_retrained,P_vs_U_concordance,0.7088888888888889,0.8244444444444444,-0.11555555555555552,-0.009629629629629627
TNFRSF1A,low_plausibility,tuna_retrained,P_vs_U_concordance,0.98,0.7133333333333334,0.2666666666666666,0.022222222222222216
BECN1,low_plausibility,tuna_retrained,P_vs_U_concordance,0.8111111111111111,0.8666666666666667,-0.05555555555555558,-0.004629629629629632
ERN1,low_plausibility,tuna_retrained,average_precision,0.5798611111111112,0.3497762741460221,0.23008483696508908,0.019173736413757424
TP53,low_plausibility,tuna_retrained,average_precision,0.7777777777777777,0.26111111111111107,0.5166666666666666,0.04305555555555555
EGFR,low_plausibility,tuna_retrained,average_precision,1.0,0.09109730848861282,0.9089026915113871,0.07574189095928226
BCL2,low_plausibility,tuna_retrained,average_precision,0.07476896625832795,0.08486312399355876,-0.010094157735230813,-0.0008411798112692345
KEAP1,low_plausibility,tuna_retrained,average_precision,0.3711229946524064,0.024608309655038626,0.34651468499736776,0.028876223749780647
BRCA1,low_plausibility,tuna_retrained,average_precision,1.0,0.5888888888888888,0.4111111111111112,0.03425925925925927
KRAS,low_plausibility,tuna_retrained,average_precision,0.09120370370370369,0.9166666666666666,-0.825462962962963,-0.06878858024691357
CDK2,low_plausibility,tuna_retrained,average_precision,0.11243386243386243,0.42063492063492064,-0.3082010582010582,-0.02568342151675485
HIF1A,low_plausibility,tuna_retrained,average_precision,0.5142857142857142,0.415,0.09928571428571425,0.008273809523809522
CTNNB1,low_plausibility,tuna_retrained,average_precision,0.05394938101373599,0.20686868686868684,-0.15291930585495084,-0.01274327548791257
TNFRSF1A,low_plausibility,tuna_retrained,average_precision,0.4444444444444444,0.3834745762711864,0.060969868173258,0.0050808223477715
BECN1,low_plausibility,tuna_retrained,average_precision,0.678030303030303,0.6825396825396826,-0.004509379509379574,-0.00037578162578163116
ERN1,context_background,ipin_baseline,P_vs_U_concordance,0.72125,0.475,0.24624999999999997,0.020520833333333332
TP53,context_background,ipin_baseline,P_vs_U_concordance,0.8388888888888889,0.5155555555555555,0.32333333333333336,0.026944444444444448
EGFR,context_background,ipin_baseline,P_vs_U_concordance,0.9977777777777778,0.6366666666666667,0.36111111111111105,0.030092592592592587
BCL2,context_background,ipin_baseline,P_vs_U_concordance,0.7577777777777778,0.96,-0.2022222222222222,-0.01685185185185185
KEAP1,context_background,ipin_baseline,P_vs_U_concordance,0.7055555555555556,0.5766666666666667,0.12888888888888894,0.010740740740740745
BRCA1,context_background,ipin_baseline,P_vs_U_concordance,0.9511111111111111,0.6811111111111111,0.27,0.022500000000000003
KRAS,context_background,ipin_baseline,P_vs_U_concordance,0.94,0.6911111111111111,0.24888888888888883,0.020740740740740737
CDK2,context_background,ipin_baseline,P_vs_U_concordance,0.5511111111111111,0.6788888888888889,-0.12777777777777777,-0.010648148148148148
HIF1A,context_background,ipin_baseline,P_vs_U_concordance,0.6944444444444444,0.73,-0.03555555555555556,-0.0029629629629629637
