row_index,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score
197,0.4128314256668091,-12.037030220031738,-9.763954162597656,-11.249786376953125,-11.016923586527506
198,0.6568548679351807,-8.95102310180664,-6.831521034240723,-11.919774055480957,-9.234106063842773
199,0.5497781038284302,-12.551980972290039,-13.7821626663208,-8.36059856414795,-11.564914067586264
200,0.528228223323822,-10.42041015625,-9.650556564331055,-7.756978988647461,-9.275981903076172
201,0.19172906875610352,-12.081945419311523,-11.188215255737305,-11.655402183532715,-11.641854286193848
202,0.24892160296440125,-13.278295516967773,-10.241792678833008,-9.979618072509766,-11.166568756103516
203,0.27090907096862793,-13.823197364807129,-13.630000114440918,-14.776442527770996,-14.076546669006348
204,0.6494048833847046,-13.135041236877441,-12.454449653625488,-7.749073028564453,-11.112854639689127
205,0.5790038108825684,-10.038008689880371,-7.250560760498047,-8.889764785766602,-8.72611141204834
206,0.5546407699584961,-8.780640602111816,-11.403982162475586,-12.051763534545898,-10.7454620997111
207,0.5674282908439636,-9.007262229919434,-13.376885414123535,-12.176197052001953,-11.52011489868164
208,0.7411235570907593,-11.1283597946167,-8.328267097473145,-12.31184196472168,-10.589489618937174
209,0.7601097226142883,-7.348219871520996,-6.810082912445068,-8.601263999938965,-7.586522261301677
210,0.5177918672561646,-9.870942115783691,-8.201945304870605,-11.890363693237305,-9.987750371297201
211,0.393888920545578,-9.051541328430176,-11.161675453186035,-12.057559967041016,-10.756925582885742
212,0.7032148838043213,-8.171648979187012,-7.442423343658447,-11.82923698425293,-9.147769769032797
213,0.6943296790122986,-5.400240421295166,-7.560937881469727,-8.643209457397461,-7.201462586720784
214,0.31648850440979004,-12.1251859664917,-11.516092300415039,-12.791695594787598,-12.14432462056478
215,0.6986740827560425,-9.747482299804688,-8.259533882141113,-12.530099868774414,-10.179038683573404
216,0.7033159732818604,-6.559337615966797,-7.7215070724487305,-10.114689826965332,-8.131844838460287
217,0.32764530181884766,-9.885554313659668,-9.806487083435059,-11.543267250061035,-10.41176954905192
218,0.6400723457336426,-13.177027702331543,-13.602070808410645,-8.48995304107666,-11.75635051727295
219,0.716031551361084,-5.626168727874756,-7.103797435760498,-10.984766006469727,-7.904910723368327
220,0.658794105052948,-9.149473190307617,-10.651989936828613,-8.236581802368164,-9.346014976501465
221,0.5444003343582153,-11.230947494506836,-9.85421085357666,-11.911395072937012,-10.99885114034017
222,0.742972195148468,-8.562494277954102,-8.065694808959961,-7.587343692779541,-8.071844259897867
223,0.6311971545219421,-7.813590049743652,-8.93225383758545,-7.5312323570251465,-8.092358748118082
224,0.6443817615509033,-9.679447174072266,-12.011500358581543,-9.598003387451172,-10.42965030670166
225,0.6669190526008606,-5.28062105178833,-8.920329093933105,-12.411351203918457,-8.87076711654663
226,0.7899320125579834,-8.148168563842773,-8.097171783447266,-11.048612594604492,-9.097984313964844
227,0.5460641384124756,-13.589653015136719,-11.146956443786621,-12.131940841674805,-12.289516766866049
228,0.6548488140106201,-8.033197402954102,-9.789070129394531,-12.298999786376953,-10.040422439575195
229,0.760815441608429,-7.692831993103027,-7.177296161651611,-8.14695930480957,-7.672362486521403
230,0.6562541127204895,-11.767480850219727,-8.651573181152344,-9.635225296020508,-10.01809310913086
231,0.578848659992218,-10.046270370483398,-4.823825836181641,-8.901409149169922,-7.923835118611653
232,0.7624041438102722,-7.913853168487549,-8.677875518798828,-11.441337585449219,-9.3443554242452
233,0.6335165500640869,-9.20256519317627,-7.337281703948975,-11.052396774291992,-9.197414557139078
234,0.28309202194213867,-9.449514389038086,-9.335168838500977,-11.961498260498047,-10.248727162679037
235,0.6679691076278687,-8.81855297088623,-7.959083557128906,-11.212050437927246,-9.329895655314127
236,0.6221292614936829,-7.3684186935424805,-9.965348243713379,-11.383807182312012,-9.572524706522623
237,0.6647568345069885,-9.342575073242188,-10.320697784423828,-8.04381275177002,-9.235695203145346
238,0.4547814726829529,-12.395236015319824,-9.219365119934082,-11.875151634216309,-11.163250923156738
239,0.7000882029533386,-14.345499038696289,-8.967472076416016,-10.671211242675781,-11.328060785929361
