cohort,aggregation,metric,model_a,model_b,difference_b_minus_a,ci_low,ci_high,targets,panels
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_20,ipin_baseline,ipin_tuna_31k,0.057052297939778174,0.008589963873469,0.09999999999999998,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_20,ipin_optimized,tuna_retrained,0.019017432646592725,-0.026361929450528142,0.06655297200910881,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_20,ipin_optimized,ipin_tuna_31k,0.023771790808240878,-0.020066889632107014,0.06501974074881424,277,631
no_exact_TRAIN_DEV_endpoint,equal_positive,recall_at_20,tuna_retrained,ipin_tuna_31k,0.004754358161648153,-0.049646800050759346,0.05988886906224083,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_20,ipin_baseline,ipin_optimized,0.013092644170790813,-0.0266491937360161,0.05234453256541428,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_20,ipin_baseline,tuna_retrained,0.0497090231713343,-0.0034688854209224546,0.1007533843027246,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_20,ipin_baseline,ipin_tuna_31k,0.0334374819947959,-0.019566522813041814,0.08488788728545389,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_20,ipin_optimized,tuna_retrained,0.036616379000543486,-0.010664711793549247,0.0830339069842781,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_20,ipin_optimized,ipin_tuna_31k,0.02034483782400509,-0.027340198537743443,0.0679137749647848,277,631
no_exact_TRAIN_DEV_endpoint,equal_yeast_target,recall_at_20,tuna_retrained,ipin_tuna_31k,-0.016271541176538395,-0.06155812282593593,0.02813936146980509,277,631
