row_index,tuna_selected_31k_seed20260803_score,tuna_selected_31k_seed20260817_score,tuna_selected_31k_seed20260831_score,tuna_selected_31k_score
107,-3.987919569015503,-4.106400966644287,-4.372927665710449,-4.155749400456746
108,-7.209995746612549,-6.215210437774658,-7.107734203338623,-6.844313462575276
109,-5.240058422088623,-3.8946990966796875,-4.433595657348633,-4.522784392038981
110,-2.4113309383392334,-3.6941123008728027,-3.6963720321655273,-3.2672717571258545
111,-5.47470235824585,-4.946945667266846,-4.722228527069092,-5.047958850860596
112,-7.134524822235107,-6.865029811859131,-7.595009803771973,-7.198188145955403
113,-6.040874004364014,-3.94828724861145,-5.337618350982666,-5.10892653465271
114,-6.400373458862305,-6.107266426086426,-5.384972095489502,-5.964203993479411
115,-8.155792236328125,-7.68253231048584,-7.200645446777344,-7.6796566645304365
116,-6.7666754722595215,-6.251700401306152,-6.70205545425415,-6.573477109273274
117,-4.898484706878662,-5.028074741363525,-5.126903533935547,-5.017820994059245
118,-5.428508281707764,-5.792931079864502,-6.187200546264648,-5.802879969278972
119,-4.770624160766602,-4.698703765869141,-4.162637233734131,-4.543988386789958
120,-3.7070443630218506,-3.7572953701019287,-2.844964027404785,-3.436434586842855
121,-5.592270851135254,-7.099616050720215,-7.674374103546143,-6.788753668467204
122,-4.337368488311768,-4.391843795776367,-3.883134126663208,-4.204115470250447
123,-4.130117416381836,-5.4245734214782715,-4.379025459289551,-4.644572099049886
124,-1.3099967241287231,-1.2893165349960327,-1.1172305345535278,-1.2388479312260945
125,-4.164342403411865,-4.293972492218018,-4.0954484939575195,-4.184587796529134
126,-3.2803966999053955,-3.105102300643921,-4.1400251388549805,-3.508508046468099
127,-3.6947662830352783,-6.840707302093506,-5.162037372589111,-5.232503652572632
128,-6.060919761657715,-5.137250900268555,-6.617900371551514,-5.938690344492595
129,-7.533609390258789,-6.06904935836792,-6.414368629455566,-6.672342459360759
130,-4.930023670196533,-5.591733455657959,-6.522481441497803,-5.681412855784099
131,-3.6341283321380615,-4.297664642333984,-4.763368129730225,-4.231720368067424
132,-5.270181179046631,-5.527071952819824,-5.891592025756836,-5.562948385874431
133,-6.427975654602051,-5.622654438018799,-5.797697067260742,-5.949442386627197
134,-5.721099376678467,-7.071079730987549,-6.8980793952941895,-6.563419500986735
135,-4.63862943649292,-6.230154037475586,-5.103514194488525,-5.324099222819011
136,-5.387466907501221,-4.971109390258789,-7.742702484130859,-6.033759593963623
137,-8.222105979919434,-7.836272239685059,-7.786282539367676,-7.948220252990723
138,-5.184438228607178,-5.775591850280762,-4.622717380523682,-5.194249153137207
139,-6.3732099533081055,-7.256481647491455,-5.912773132324219,-6.51415491104126
140,-5.86055326461792,-6.707502841949463,-5.1098151206970215,-5.892623742421468
141,-3.8704721927642822,-3.6563773155212402,-4.122693061828613,-3.883180856704712
142,-1.1967003345489502,-1.62868070602417,-0.4452711343765259,-1.090217391649882
143,-4.055927276611328,-6.792344093322754,-4.546402454376221,-5.131557941436768
144,-6.567773818969727,-5.828559398651123,-6.398576259613037,-6.264969825744629
145,-4.472307205200195,-3.3927254676818848,-3.76116681098938,-3.8753998279571533
146,-3.6361300945281982,-5.1122002601623535,-4.408651351928711,-4.385660568873088
